Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Visualization Analyst,-1,"CareJourney’s mission is to empower individuals and organizations they trust with open, clinically-relevant analytics and insights in the pursuit of the optimal healthcare journey. We are a fast-growing start-up in Arlington, VA that builds software products to serve industry-leading customers that include Pfizer, Humana, and Microsoft. Our founders and leadership developed the policy and technology in the public and private sector that shape the work we do today. We are looking for driven professionals that are excited to join a growing business where they will have a strong voice in the direction and success of the company. Our culture embraces teamwork and cross-functional collaboration for a fun and exciting environment.

We are looking for a talented, motivated, and high-performing Data Visualization Analyst to join our team. You will work to tell data-driven stories through thoughtful design. You will analyze and translate large datasets to develop use-case driven visualizations, and support the development and deployment of CareJourney’s suite of insights, products, and services to its client-base.
Key Responsibilities
Use SQL and Data Visualization tools to develop scalable and efficient analytical environments and support rapidly growing product offerings
Mockup and build analytical dashboards and reports that drive financial and business decisions, including investigating and addressing questions that arise within the data or front-end, fixing and deploying bugs, and creating ad-hoc reports for clients or internal users
Assist in the requirements gathering, design, and development of complex dashboards, visualizations and metrics using leading business intelligence softwares
Work closely with internal stakeholders, such as client services teams and engineering teams, on cross-team projects and align team goals with company goals
Basic Qualifications
2+ years experience working in Data Analytics or Data Visualization
Extensive knowledge and experience working with large scale data warehouse and database platforms using SQL and a Business Intelligence visualization tool (Tableau, Power BI, Looker, Qlikview, etc.)
Experience using SQL to perform complex data analysis in an enterprise data warehouse
Attention to detail and the ability to think critically and solve problems using analytical and quantitative methodologies
Strong oral/written communication skills, specifically the ability to communicate and translate difficult analytical problems to stakeholders with minimal analytics background
Ability to work effectively and multi-task in a high paced environment
About CareJourney – Headquartered in Arlington, VA, CareJourney currently supports leading payer, provider, and life sciences organizations across the US in achieving their goals by wringing new, high value insights out of expansive population claims data. Through our solutions, we provide members with interactive dashboards around network design and management, care model management, patient risk segmentation and cohort analysis, spend and utilization trends, network integrity, low-value care, and provider, practice and facility (acute and post-acute) performance. Founded in 2014, CareJourney is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. Please visit us at www.carejourney.com for more.",3.4,"CareJourney
3.4","Arlington, VA",51 to 200 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst,-1,"Summary:

The data analyst is responsible for gathering and analyzing healthcare data from multiple sources to extract trends and business insights. They will evaluate billing, encounter, appointment, and other data sources to identify and correct errors by working with other departments and vendors to correct operational workflows and identify software patches and workarounds to ensure data integrity. The primary responsibility for this position is to fully support the ongoing healthcare business intelligence and data analytics objectives. To succeed in this role, you should be analytical, resourceful and work under moderate supervision. Must live or be willing to relocate to Southeastern Kentucky.

ESSENTIAL DUTIES AND RESPONSIBILITIES:
Provides consulting and analytic services to leadership and management.
Monitors data from many sources and creates scheduled and ad-hoc reports using Microsoft SQL Server and/or Excel data.
Summarizes large volumes of data in analytical reports that include tables and graphs for management to review and use.
Helps interpret large data sets to provide or enhance business intelligence for operational and management functions.
Reviews and ensures accuracy of reports and corrects or explains discrepancies through the use of sampling, investigation, and understanding of operational workflows.
Collaborates with other departments and vendors to identify missing data, errors, or other anomalies.
Works with others to gather necessary information, provide guidance on regulatory reporting needs, and resolve data errors.
Building models and analyzing data to discover patterns and trends.
Integrate data from disparate sources (i.e. scheduling, clinical, billing, or external data sources).
Support internal IT department in software upgrade/patch processes.
Assist IT department when needed with end user support related to clinical and non-clinical EMR support.
OTHER ESSENTIAL DUTIES and RESPONSIBILITIES:
Grace Health recognizes that managing patient care is a team effort that involves clinical and non-clinical staff. All employees must embrace a team-based approach to patient care and understand that each role is important to our success.
Team members must demonstrate excellent team communication and coordination to provide quality patient care.
Care coordination includes communicating with community organizations, health plans, facilities, and specialists.
Care team members understand and embrace the concept of population management and proactively address the needs of patients and families served by this practice.
Team members must demonstrate skill and knowledge related to effective communication with vulnerable patient populations.
Team members must participate in Continuous Quality Improvement activities within the organization to ensure patients receive high quality care.
All team members will be involved in the process of improving quality incomes.
Team members will participate in the review and evaluation processes of practice performance and help to identify opportunities for improvement.
Team members will participate in Grace Health's advocacy program.
GENERAL DUTIES:

· Follows policies and procedures of the office, including administrative, clinical, quality assurance, and personnel

· Maintains good attendance (daily, meetings, and other assignment tasks)

· Maintains timely documentation of all work assignments

· Maintains patient confidentiality

· Routinely keeps supervisor informed about attendance and job assignments

· Flexible in being able to multitask

· Works effectively and at an efficient pace

· Works cooperatively with providers, administration, and peers

QUALIFICATION REQUIREMENTS:

To perform this job successfully, an individual must be able to assist in advancing Grace Health’s mission and to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

SKILLS:

Ability to: Use Microsoft office suite, Microsoft SQL Server at an expert level to gather, analyze, and present information; Learn new software as needed to meet business requirements; Work with internal and external departments to extract project requirements/specifications to build capable, accurate reporting and analysis.

EDUCATION and/or EXPERIENCE:

Minimum of Bachelor’s degree in statistics, economics, or related discipline OR minimum four years of data analyst or related experience with proven skills in analysis.

At least 1 year experience analyzing complex data sets and creating custom reports.

Strong analytic and reporting skills required; Effective oral, written and interpersonal communication skills required; Experience working in healthcare industry and/or formal informatics training are a plus.

Job Type: Full-time

Pay: $18.00 - $21.00 per hour

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Experience:
Statistical Analysis: 4 years (Preferred)
analyzing complex data sets and creating custom reports: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Location:
Corbin, KY 40701 (Required)
Work Location:
One location
Company's website:
gracehealthky.org",3.0,"Grace Health
3.0","Corbin, KY",201 to 500 Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
Credit Data Business Analyst,"$37K-$69K
(Glassdoor est.)","Summary:
The Credit Data Business Analyst at Southern Management Corporation is responsible for analyzing, interpreting, and communicating findings related to key performance indicators that drive higher performance and productivity results across all business lines. The Business Analyst consults with senior leadership on making well informed, data-driven decisions that ultimately impact the company’s bottom line by providing analytical decision support and performance measurement.

Responsibilities:
Monitor and develop report on scoring models performance over time
Develop and optimize risk strategies and credit guidelines that drive portfolio growth while ensuring that portfolios operate within boundaries of acceptable risk
Gather, organize, and analyze information.
Extract and compile performance data from various source systems for qualitative and/or quantitative analyses
Conduct various ad-hoc analyses to support strategy and monitoring functions
Provide daily support for departmental operations
Provide insight for process improvement across functional areas
Monitor deliverables and ensure timely completion of projects
Primary Duties:
Track performance of scoring models and provide recommendation
Work with data team members, analyze large, complex data sets utilizing data mining and statistical techniques to identify and interpret trends or patterns to drive collection strategy and policy enhancements.
Develop recommendations and present analysis to management in a clear, concise, convincing, and actionable format
Develop and test multiple hypotheses using results from analyses to generate and answer new questions leading to more in-depth understanding of business issue(s) being studied.Produce high quality dashboards in a clear format that highlights actionable data points using tables, charts and text.
Develop/amend workflows to ensure business needs are met.Evaluate/develop/implement analytical techniques and best practices to gain a competitive advantagePerform periodic reviews of applications and loans to ensure policy adherence and proper underwriting.
Support the implementation of new strategic initiatives based on data analysis of related KPI’s and monitors/tracks results accordingly.
Other tasks as assigned

Education & Experience
Bachelor's degree or equivalent experience; Master’s Degree (preferred) in Finance, Economics, Business, Accounting, Statistics, Data Analytics, or similar field
5+ years of experience in business, data, or risk analytics preferred
Knowledge, Skills & Abilities:
Familiar and comfortable with credit scoring/modeling process including performance tracking. Modeling experience is not required but a plus.
Ability to analyze numeric data and trends, including root cause analysis
Ability to create detailed reports
The ability to influence stakeholders and work closely with them to determine acceptable solutions
Fundamental analytical and conceptual thinking skills
Strong presentation skills to all levels of organization
SQL experience required
Expertise with Microsoft Office, especially Excel/Pivot Tables
Experience with Tableau a plus",3.3,"Southern Management Corporation
3.3","Greenville, SC",1001 to 5000 Employees,1986,Company - Private,Lending,Finance,Unknown / Non-Applicable
SAP Data Analyst,"$70K-$121K
(Glassdoor est.)","Position Description:
The SAP Data Analyst is responsible for analyzing data and the ERP architecture to support business intelligence. In collaboration with subject matter experts and data stewards, defines and implements data strategy, policies and controls to ensure enterprise data is accurate, complete, secure and reliable. The SAP Data Analyst will oversee data structures, design the ERP reporting strategy and provide system training. The SAP Data Analyst will ensure master data integrity in key systems as well as maintaining the process to support the data quality. The analyst must be proficient with SAP reporting tools and willing to keep up with industry trends for continuous improvement.

Position Requirements:
ESSENTIAL DUTIES AND RESPONSIBILITIES:
• Define reporting requirements and analyze data for business intelligence and systems integration.
• Establish enterprise master data requirements and troubleshoot issues with cross-functional teams.
• Consults with users to develop an understanding of business needs and support those needs using application and tools.
• Manage production support activities for all user requests using Exelixis’ ticketing system.
• Utilizes Exelixis IT department policies, methodologies, standards and guidelines with regard to systems development and/or software package selection.
• Manages business and technical subject matter experts to implement and maintain systems.
• Conducts research and analysis into the nature, effect and results of system problems.
• Maintain current and create new system documentation as needed; coordinates with Finance Systems Analyst to perform testing of system modifications.
• Develops or coordinates system training including educational tools and materials.
• Maintains regulated systems and audit IT general controls for compliance (SOX, 21 CFR Part 11).
• Generates and maintains computer system’s validation documentation, if required.
• Project management of system upgrades and implementations.

SUPERVISORY RESPONSIBILITIES:
• None

EDUCATION/EXPERIENCE/SKILLS:
Education:
• BS/BA degree in Computer Science and/or business-related discipline and seven years of related experience;
• MA/MS degree in Computer Science and/or business-related discipline and five years of related experience;
• Equivalent combination of education ad SAP reporting experience in an active support role.

Experience:
• Financial background is strongly encouraged as this position will need to have a good understanding of financial concepts and reporting requirements.
• Seven years working experience with SAP Analytics Cloud and SAP BW. Experience in report design and analyzing data structures is required.
• S/4 HANA, SAP Analytics for Office and other add-in reporting experience, such as Tableau, is strongly desired.
• Experience authoring and/or executing functional specification documents.
• Experience participating in audits for GxP or SOX compliance preferred
• Experience with GxP Validated Computer Systems is preferred.
• Experience in drug discovery, pharmaceutical or related industry is preferred.

Knowledge/Skills/Abilities:
• Applies solid analytical and business communication skills.
• Strong financial reporting background and knowledge of other related disciplines.
• Identifies and implements methods and procedures to achieve results.
• Ability to lead the work of other by providing guidance to teams based on organizational goals and company policy, with responsibility for results, including costs and methods.
• Complete understanding and wide application of technical principles (SDLC), theories, concepts and techniques.
• Performs a variety of complicated tasks with a wide degree of creativity and latitude.

JOB COMPLEXITY:
• Works on complex problems where analysis of situations or data requires an in-depth evaluation of various factors.
• Exercises judgment within broadly defined practices and policies in selecting methods, techniques and evaluation of criteria for obtaining results.
• Uses professional concepts and company policies and procedures to solve a wide range of difficult problems in imaginative and practical ways.
• Networks with key contacts outside own area of expertise.

DISCLAIMER
The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to the job.

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",3.1,"Exelixis
3.1","Alameda, CA",501 to 1000 Employees,1994,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Analyst,-1,"The Data Analyst/Visualization Developer plays an important role in our team’s success. As a member of an Agile Delivery team, they are the primary creators of new features and functionality within the software. This role understands how data is analyzed, visualized and interacted with to fulfill business needs.

The Data Analyst is responsible for:
Understanding and assessing business needs and use cases for data and analytics solutions.
Designing and developing Data Visualization solution alternatives and recommendations to fulfill use case requirements.
Analyzing data to find anomalies, outliers, inconsistent formats and other data quality items that would impact the data visualizations.
Adapt data components to accommodate changes in source data and new business requirements.
Creating source to target data mappings to specify data movement and rules required to prepare data for visualization.
Design, develop, and deploy optimal extraction, transformation, and loading of data
Modeling data to optimize interacting with visuals and dimensions efficiently.
Collaborate with the rest of the Big Data Team, subject matter experts and department leaders to understand, analyze, build and deliver new data-related processes and/or reports.
Requirements

Required Skills:
Problem-solving, investigation and analysis skills to understand needs and use cases
Understanding of various visualization methods, approaches and interaction patterns.
Hands on experience with data visualization tools, such as Tableau, QlikView, Looker, PowerBI, and others.
Strong SQL skills and understanding of how to write efficient queries.
Experience with databases such as BigQuery, PostgresSQL and others.
Basic understanding of statistical analysis.
Strong initiative and self-starting skills, ability to join a team and contribute quickly.
Other Valuable Experience:
Implementations with cloud-based solutions and Google Cloud Platform.
Client-facing experience.
1-3 years experience of implementing technology solutions
Experience in Python including in modules/libraries such as pandas, NumPy, Flask, scikit-learn, and sci-py.
Proven experience extracting data from structured data sources (SQL, Excel, CSV files) and unstructured data sources
Experience consuming data from web services, REST and SOAP, HTML, XML and JSON.",3.2,"Tectonic
3.2","Denver, CO",51 to 200 Employees,-1,Company - Private,-1,-1,$10 to $25 million (USD)
Data Analyst,"$60K-$110K
(Glassdoor est.)","About Datadog:

We're on a mission to build the best platform in the world for engineers to understand and scale their systems, applications, and teams. We operate at high scale—trillions of data points per day—providing always-on alerting, metrics visualization, logs, and application tracing for tens of thousands of companies. Our engineering culture values pragmatism, honesty, and simplicity to solve hard problems the right way.

The team:

We are building a first-class Internal Analytics team composed of Data Engineers and Data Analysts. We use cutting-edge data collection, transformation, and analysis tools in order to provide other teams with data that will help them better understand both our customers and our own operations so they can make strategic data-driven decisions.

The opportunity:

As a Data Analyst within the Internal Analytics team, you will help ensure all teams at Datadog have the data they need to drive their projects. You will have a chance to interact with all other departments including other Engineering teams, Product Managers, Designers, Marketing, and Customer Success.

You will:
Contribute to building the data model layer that is used by the whole company to query internal data and analytics
Build actionable data reports and visualizations that will help other teams make strategic decisions
Help product managers, designers, and engineers to understand our products usage and user behaviors, and facilitate data-driven decision making
Help marketing teams optimize their initiatives
Run deep data analyses and investigations
Work to discover how different technologies are being adopted over time by different segments of users
Present findings to team leads and executives
Train other employees to use data to answer questions without assistance
Requirements:
You are a clear, concise communicator that works well with others
You can explain complex datasets to non-technical people in understandable ways
You are able to clean a dataset and conduct a data analysis in Python or similar language
You are fluent with SQL and are able to write complex and performant queries with no assistance
You’ve mastered data analysis and visualization in Looker, Excel, Google Sheets, Tableau and/or similar tools
You have a natural curiosity and investigative mindset - driven to know “why”
You want to work in a fast, high-growth startup environment and thrive on both autonomy and collaboration
2+ years of professional experience
Bonus points:
You are familiar with Spark and/or Hadoop
You have some experience with data stores similar to AWS Redshift or S3
You are familiar with data storage optimization (keys, schemas, …)",4.1,"Datadog
4.1","New York, NY",1001 to 5000 Employees,2010,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Analyst,-1,"JOB DESCRIPTION:
Summary
Will work alongside RnD staff to extract, process, plot and interpret data collected from variety of chemical and sensor experiments. Data may also come from deployed sensor networks.

Required Skillsets
• Seeking 1-5 years of experience in Data collection and analytics
• BS or equivalent in CS, Electrical Engineering, Data Sciences. Candidates should have a range of courses on statistics, SPC and databases
• Comfortable with python programming
• Experience with JMP and interpreting / working with Matlab
• Experience with Excel and Powerpoint would be desirable
• A team player

CONTACT INFORMATION:
Sandra Montes
Sandra@OSIEngineering.com
220.2800 x 108
OSIJOBS",4.6,"OSI Engineering
4.6","Newark, CA",51 to 200 Employees,2010,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
ServiceNow Data Visualization Analyst *Sign On Bonus*,"$49K-$89K
(Glassdoor est.)","Job Description

As a ServiceNow Dashboarding and Reporting subject matter expert (SME), you will work closely with ServiceNow engineering teams and requesting stakeholders to ensure the thorough analysis and visualization of large data sets. You will be embedded in the engineering division that is currently building out ServiceNow for a large government customer. You will build complex reports and dashboards in ServiceNow and Tableau, and sometimes guide stakeholders in their quest to build them self-service. You will work with key stakeholders and client Subject Matter Experts (SMEs) to understand their business or contractual needs, in order to best report or visualize the stat story.

Youll Bring These Qualifications:
Must have an active TS/SCI with Polygrah
Technical ability to manipulate data in ServiceNow and Tableau as tasked
Ability to interact comfortably with Government stakeholders and engineers on a day-to-day basis
Demonstrate excellent verbal and written communication skills
Ability to be flexible with changing priorities and a strong team-player
Independent self-starter who can provide input to engineering teams with minimal instructions
Leading efforts to develop and maintain views to enable ServiceNow Performance Analytics dashboards and reports
Providing highly technical expertise in developing reports using ServiceNow Performance Analytics
Supporting report development in Tableau
Conducting statistical and predictive analysis based on project assignment or specific request
Collaborate with stakeholders to understand and recommend self service activities related to analytics
Develop data flows between data sources as required to create data sets and perform analyses
Integrate and prepare large, varied datasets for analysis. Identify and assess data attributes to develop recommendations and analytical processes based on mission requirements
Interpret and analyze data collected from a variety of sources using exploratory and statistical techniques, validating findings using an experimental and iterative approach
These Qualifications Would be Nice to Have:
Experience with Agile Scrum teams
Experience with ServiceNow Reports Module
Experience Visualizing data on a commensurate platform (ServiceNow, Tableau)
Understanding of ITIL principles
Experience managing relationships, operating procedures and service level agreements with clients and coworkers
Experience Supporting Service Management tool suites including HP, BMC Remedy, CA, and ServiceNow
What We Can Offer You:
Weve been named a Best Place to Work by the Washington Post.
Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.
We offer competitive benefits and learning and development opportunities.
We are mission-oriented and ever vigilant in aligning our solutions with the nations highest priorities.
For over 55 years, the principles of CACIs unique, character-based culture have been the driving force behind our success.
BITS3

allspark

Job Location

US-Chantilly-VA-VIRGINIA SUBURBAN

CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities.",3.6,"CACI International
3.6","Chantilly, VA",10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
Data Analyst,-1,"Data Analyst

Location: New York, United States

Salary: competitive

Sectors: Banking IT

Job Type: Permanent

Apply for this Job
A mobile app company in New York is looking for a data analyst to join their team. The ideal candidate will have a Masters' degree and 1+ years' experience in analytics.

The ideal candidate will have:
Masters' degree in related field (computer science, physics, etc.)
1+ years' experience in data analytics
Experience in user experience and big data
Looker experience preferred, SQL required
Excellent communication
Ability to adapt and collaborate in a start up environment
Responsibilities will include: working with data scientists and engineers to improve user experience, sharing research findings with stakeholders, and driving business growth through data. If interested in this role, please apply using the link.

Sthree US is acting as an Employment Agency in relation to this vacancy.

Apply for this Job",3.1,"Huxley
3.1","New York, NY",201 to 500 Employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Analyst,"$34K-$62K
(Glassdoor est.)","About Us:


Founded in 1968 to meet the post-secondary and continuing education needs of Cecil County residents, Cecil College has been serving the community and shaping its future for nearly 50 years. The College is governed by a Board of Trustees appointed by the governor. The College's fifth president, Dr. Mary Way Bolt, reports directly to the Board of Trustees.

Cecil College is centrally located in Maryland's most northeastern county, just one half mile from Interstate 95. It is easily accessible from Philadelphia and Baltimore, as well as from Wilmington, Delaware.

With a diverse student population, Cecil College enrolls approximately 2,500 credit students and 3,400 non-credit students. Cecil offers associate degrees, certificate programs and non-credit classes. Cecil offers a variety of associate degree and certificate programs.

Through its open admissions policy, Cecil College provides learning opportunities for all who have the desire and ability to benefit from its courses and programs, regardless of age, gender, ethnic origin, sexual orientation, disability, or socioeconomic status.

GENERAL RESPONSIBILITIES:


Reporting to the Manager of Institutional Research, the Data Analyst is responsible for providing support to the college community as it relates to data. Responsibilities include collaborating with others to develop and maintain databases and data systems necessary for projects and department functions; acquiring, aggregating and abstracting primary or secondary data from existing internal or external data sources; and, developing and implementing data collection and reporting systems and other strategies that optimize statistical efficiency and data quality.

SPECIFIC DUTIES:
Interpret data and develop recommendations based on findings
Develop appropriate graphs, reports, dashboards, and presentations of data
Perform basic statistical analyses for projects and reports
Generate routine and ad-hoc reports using SQL and other standard report writers
REQUIREMENTS


Education: Associates degree required. Bachelor's in Information Management, Computing, Mathematics, Statistics, or related fields preferred

Experience: 1-2 years Previous Data Analyst experience preferred

Skills/Training: (Expertise with Microsoft Outlook, Word, Excel, Power Point, desktop publishing and Internet Research.
Understanding of database queries/query languages
Programming skills preferred
Adept at queries and report writing
Knowledge of Power BI preferred
Knowledge of statistics, at least to the degree necessary in order to communicate statistical concepts
Ability to present complex information in an understandable and compelling manner
Proficiencies: Demonstrated abilities to coordinate multiple schedules, assess priorities, and meet deadlines; must exhibit excellent communication and writing/composition skills, strong interpersonal and teamwork skills and proficiency in problem-solving

For best consideration, please apply by August 11, 2020.

*We are committed to ensuring equal opportunity and non-discrimination in all hiring and employment practices. Cecil College will not discriminate against any individual by reason of race, color, national origin, ancestry, age, religion, disability, sex, sexual orientation, gender identity and expression, genetic status, genetic information, veteran status or any other status protected by federal, state or local law.
]]>",3.2,"Cecil College
3.2","North East, MD",Unknown,-1,College / University,Colleges & Universities,Education,Less than $1 million (USD)
Data Analyst,"$40K-$74K
(Glassdoor est.)","Data Analyst
Job Category


Information Technology

Market Location


VA - Reston (Corporate HQ)

Location


VA - Reston

Apply Now

NVR has been helping families build their happily ever after since 1948. As a Top 5 US homebuilder, we’re committed to quality and to our customers and we take pride in the over 400,000 new homes we have sold and built across the country. Working in the homebuilding industry is tangible and rewarding, but not every job at NVR requires a hard hat. We don’t just sell and build new homes; we also manage teams, acquire land, manufacture materials, provide mortgages to our customers, and provide corporate support to NVR’s multi-billion dollar business operations.

NVR is seeking an experienced Data Analyst to join our Data & Analytics team. As a Data Analyst you will collaborate with technology and business teams to improve analytics that fosters data-driven decision making across the organization.

Primary Responsibilities
Passionate about solving customer problems and develop solutions that are customer focused
Participates in software design process including inception, technical design, development, testing, and delivery of solutions.
Support proper data governance processes and policies; implement and/or validate data lineage, quality checks, classification, etc.
Identify data inconsistencies, provide workarounds, and report them to stakeholders
Troubleshoot data issues, validate result sets, and implement process improvements
Discuss database structure and application data with developers and DBAs or others in data engineering to obtain best results from data
Identify and assess business strategies and opportunities; develop appropriate analytical approaches
Qualifications
Degree focused on Business Analytics, Statistics, or Mathematics
3+ years’ experience using data analyst methodologies
Strong communication skills
Demonstrates a strong understanding of analytics, data cleaning, model building, and statistics
Critical thinking and problem-solving skills
Insight into Python, R, and other programming languages
Experience with visualization tools (e.g. Tableau, Excel, Power BI)
Ability to work with stakeholders to assess potential risks
Ability to translate business requirements into non-technical, lay terms
Understanding of addressing and metadata standards
High-level written and verbal communication skills
Life at NVR

At NVR, your desire to excel is matched by our commitment to your success and we’ll give you the tools and industry knowledge you need. Our management team is tenured and talented, nearly 80% of them promoted from within, so you’ll find mentors who can share their knowledge, provide career guidance and encourage your success.

NVR also offers benefits among the best in the industry that reflect the strong commitment we have to all of our employees.
Competitive Compensation
Home Purchase Discount
Mortgage and Settlement Services Discounts
Comprehensive Health, Life and Disability Insurance
401(k) (Full-time employees are eligible to contribute immediately)
Employee Stock Ownership Program
Vacation and Holidays
Along with the traditional benefits, we offer all our employees stock ownership through a profit sharing trust as part of our retirement savings package. NVR has had the highest Earnings Per Share growth rate in the homebuilding industry for the past 10 years, so as we grow financially, so do you.

We are an Equal Opportunity Employer.
Drug Testing and Credit Check are required.
Applicants must be legally entitled to work in the United States, as NVR does not provide visa sponsorships.",4.1,"Ryan Homes
4.1","Reston, VA",1001 to 5000 Employees,1948,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance",$5 to $10 billion (USD)
